DATE_TIME,typical_price,OPEN,HIGH,LOW,CLOSE,VOLUME,return_1,log_return_1,return_5,log_return_5,return_10,log_return_10,return_20,log_return_20,return_60,log_return_60,sma_10,ema_10,close_sma_ratio_10,sma_20,ema_20,close_sma_ratio_20,sma_50,ema_50,close_sma_ratio_50,sma_100,ema_100,close_sma_ratio_100,sma_200,ema_200,close_sma_ratio_200,macd,macd_signal,macd_hist,rsi_7,rsi_14,rsi_21,stoch_k,stoch_d,williams_r_14,cci_14,roc_10,roc_20,roc_60,mom_10,mom_20,bb_upper,bb_middle,bb_lower,bb_pct_b,bb_width,atr_14,natr_14,hist_vol_10,hist_vol_20,hist_vol_60,ema_cross_10_50,ema_cross_20_100,trend_slope_50,trend_strength_50,obv,obv_delta_20,volume_sma_10,volume_sma_20,volume_ratio_20,vwap_60,mfi_14,statistical__log_return_1,roll_mean_ret_20,roll_std_ret_20,roll_skew_ret_20,roll_kurt_ret_20,roll_mean_ret_60,roll_std_ret_60,roll_skew_ret_60,roll_kurt_ret_60,roll_mean_ret_252,roll_std_ret_252,roll_skew_ret_252,roll_kurt_ret_252,realized_var_12,realized_var_48,autocorr_lag1_100,autocorr_lag5_100,sqret_autocorr_lag1_100,vol_regime_high,vol_regime_low,hurst_proxy_200,zscore_close_100
2020-10-03 00:00:00,346.9866666666667,345.6,349.2,343.7,348.06,50978.93024,0.0071180556,0.007092842,0.017213665,0.017067188,-0.055698745,-0.057310037,-0.02318141,-0.023454325,0.020524248,0.020316463,347.98,348.1031,0.00022989827,353.526,351.0803,-0.015461381,353.5798,353.3514,-0.015611186,357.9511,357.31384,-0.027632546,369.83206,363.5124,-0.0588701,-2.9398026,-1.5317266,-1.408076,47.134186,45.762524,46.58586,38.166252,31.565866,-61.833748,-46.017693,-0.055698745,-0.02318141,0.020524248,-20.53,-8.26,369.92178,353.526,337.13022,0.33331087,0.09275579,7.385714,0.021219658,0.04969639,0.05950173,0.100146435,-0.015078749,-0.017909396,0.000119300115,0.000119300115,5031244.5,-255275.67,126487.13,105660.2,0.48247996,348.24496,47.07873,0.007092842,-0.0011727163,0.013304992,-0.78719354,-0.028084865,0.00033860773,0.012928849,-0.5014857,0.34745744,-0.0004042894,0.018256838,-0.9409977,4.031654,0.0027325004,0.00625126,0.11026034,0.027834676,0.21885204,0.0,1.0,0.47468242,-0.60062474
2020-10-03 04:00:00,346.43,348.11,348.57,344.58,346.14,52462.66277,-0.00551629,-0.005531561,0.026725596,0.026374705,-0.04145551,-0.042339303,-0.037938796,-0.03867721,0.03103777,0.030565837,346.483,347.74615,-0.0009899476,352.8435,350.6098,-0.018998507,353.5232,353.0686,-0.020884626,357.7074,357.09256,-0.032337602,369.41806,363.33954,-0.06301276,-2.9442656,-1.8142345,-1.1300312,43.270786,43.928913,45.343304,32.86385,34.134216,-67.13615,-42.13045,-0.04145551,-0.037938796,0.03103777,-14.97,-13.65,369.27777,352.8435,336.40924,0.29605106,0.09315326,7.205714,0.020817341,0.04693014,0.05851512,0.0989865,-0.015376537,-0.018728793,-0.00016285283,0.00016285283,4978781.5,-379099.06,121909.14,104715.3,0.50100285,348.4698,43.013737,-0.005531561,-0.0019338605,0.013084379,-0.6691867,-0.038905907,0.00050943065,0.012779103,-0.52731866,0.4970338,-0.0004847045,0.018234514,-0.9335089,4.047567,0.0027436845,0.0062510218,0.11079313,0.03417064,0.22192204,0.0,1.0,0.47299528,-0.70273226
2020-10-03 08:00:00,347.2966666666666,346.11,349.92,344.4,347.57,55248.2466,0.004131276,0.004122766,0.012969224,0.012885843,-0.015884252,-0.016011758,-0.022746444,-0.023009134,0.02615807,0.0258218,345.922,347.71414,0.0047640796,352.439,350.32028,-0.013815157,353.5764,352.85297,-0.016987558,357.5303,356.904,-0.027858619,369.03064,363.18262,-0.058154114,-2.8001354,-2.0114148,-0.7887208,47.04253,45.67481,46.460075,36.813034,35.947712,-63.186966,-26.852816,-0.015884252,-0.022746444,0.02615807,-5.61,-8.09,368.97928,352.439,335.8987,0.3528138,0.09386177,7.245714,0.020846777,0.042943936,0.057900522,0.09869242,-0.01478503,-0.018942147,0.0001536514,0.0001536514,5034030.0,-250936.64,96724.94,103832.0,0.5320927,348.6473,41.742043,0.004122766,-0.0011504567,0.01294695,-0.8627657,0.32139775,0.00043036332,0.012741136,-0.5173358,0.52345234,-0.00045676084,0.018236164,-0.9378149,4.0508447,0.0025987974,0.00626398,0.122876436,0.037885405,0.2237846,0.0,1.0,0.47335935,-0.6046228
2020-10-03 12:00:00,346.92,347.56,347.79,345.69,347.28,41372.84099,-0.0008343643,-0.0008347126,0.011446047,0.011381036,-0.015785744,-0.015911667,-0.021884242,-0.022127254,0.025847044,0.025518656,345.365,347.6352,0.0055448585,352.0505,350.03073,-0.013550613,353.662,352.63443,-0.018045478,357.352,356.71344,-0.028185096,368.66245,363.02438,-0.058000077,-2.6784365,-2.144819,-0.53361744,46.313988,45.366302,46.258812,36.01215,35.22968,-63.98785,-21.123606,-0.015785744,-0.021884242,0.025847044,-5.57,-7.77,368.6972,352.0505,335.40378,0.35671347,0.09457005,7.120714,0.020504246,0.042945776,0.05789816,0.09869589,-0.014395354,-0.01924297,0.00024801848,0.00024801848,4992657.0,-210913.27,93363.45,101830.836,0.4062899,348.81625,37.85882,-0.0008347126,-0.0011063627,0.012946422,-0.8742185,0.33664396,0.00042531095,0.012741584,-0.5160602,0.52205867,-0.00046353144,0.018235985,-0.93672127,4.0497074,0.00217915,0.0061660632,0.12335519,0.03802844,0.22662053,0.0,1.0,0.47287512,-0.6108984
2020-10-03 16:00:00,349.2333333333333,347.27,351.0,346.64,350.06,58451.61923,0.008005068,0.007973197,0.012905093,0.012822531,-0.008974323,-0.009014835,-0.00810382,-0.008136834,0.068265736,0.06603653,345.048,348.07608,0.014525515,351.9075,350.0335,-0.005249959,353.7894,352.53345,-0.010541299,357.0823,356.5817,-0.019665774,368.2509,362.8954,-0.049398113,-2.3307984,-2.182015,-0.14878345,54.239853,48.92754,48.50421,45.51208,39.445755,-54.48792,11.429886,-0.008974323,-0.00810382,0.068265736,-3.17,-2.86,368.5719,351.9075,335.2431,0.44456744,0.09470894,6.8914285,0.019686421,0.043963503,0.058337696,0.09308891,-0.012733213,-0.018705823,0.0003672896,0.0003672896,5051109.0,-69173.414,93013.586,100589.0,0.58109355,349.2641,34.94544,0.007973197,-0.0004068417,0.013044706,-1.0106975,0.48076442,0.0011006088,0.012017727,-0.4232283,0.51306874,-0.000421406,0.018243192,-0.94219035,4.0475135,0.0017496697,0.005858723,0.1265918,0.0113431625,0.25128657,0.0,1.0,0.47437084,-0.42865157
2020-10-03 20:00:00,347.3733333333334,350.04,350.55,345.62,345.95,45081.41918,-0.011740845,-0.011810312,-0.0060621733,-0.006080623,0.011047141,0.010986567,-0.03179312,-0.032309495,0.07866675,0.07572579,345.426,347.6895,0.0015169674,351.3395,349.64462,-0.0153398635,353.766,352.2753,-0.0220937,356.7428,356.37115,-0.030253729,367.80994,362.72678,-0.05943273,-2.3597338,-2.2175586,-0.14217506,43.23135,44.32718,45.549873,43.5802,41.701477,-56.4198,5.0631833,0.011047141,-0.03179312,0.07866675,3.78,-11.36,368.00296,351.3395,334.67603,0.3382839,0.09485675,6.672143,0.019286437,0.030967101,0.057773545,0.09118139,-0.013255592,-0.019443672,-6.752571e-05,6.752571e-05,5006027.5,-214929.98,77441.555,97809.31,0.4609113,350.34357,36.37027,-0.011810312,-0.0016154748,0.012918557,-0.82447535,0.16166286,0.0012620965,0.0117714675,-0.39197752,0.62408364,-0.0005285671,0.018230408,-0.92990124,4.043401,0.0018882793,0.005967673,0.10891911,0.007771916,0.2703188,0.0,1.0,0.47266093,-0.66392887
2020-10-04 00:00:00,345.62999999999994,345.94,347.23,343.81,345.85,49719.09016,-0.0002890591,-0.0002891009,-0.00083781127,-0.00083816244,0.025865393,0.025536543,-0.026624637,-0.026985493,0.064317584,0.06233383,346.298,347.35507,-0.0012936834,350.8665,349.28323,-0.014297461,353.6056,352.02332,-0.021932911,356.3705,356.1628,-0.029521242,367.35544,362.55884,-0.058541257,-2.3634896,-2.2467449,-0.11674473,42.98371,44.21824,45.479107,57.16396,48.75208,-42.83604,-7.253666,0.025865393,-0.026624637,0.064317584,8.72,-9.46,367.59235,350.8665,334.14066,0.35003754,0.09534026,5.8021426,0.016776472,0.025599686,0.057630897,0.09039289,-0.013497925,-0.019891834,-0.00045848917,0.00045848917,4956308.5,-178741.22,64452.36,95999.875,0.51790786,350.9611,44.65188,-0.0002891009,-0.0013492747,0.01288666,-0.89767027,0.28589058,0.0010388972,0.011669671,-0.3613171,0.7059192,-0.00047522577,0.018211279,-0.94016176,4.0832047,0.0018872044,0.0059575955,0.10413838,-0.00086412445,0.26962253,0.0,1.0,0.47235897,-0.6545869
2020-10-04 04:00:00,348.03000000000003,345.84,349.93,345.8,348.36,48297.91509,0.0072574816,0.0072312728,0.0022729235,0.0022703442,0.0152716255,0.015156188,-0.031876165,-0.03239527,0.06207317,0.06022282,346.822,347.53778,0.0044345516,350.293,349.19528,-0.0055182376,353.5344,351.87967,-0.0146362,356.0519,356.0083,-0.02160331,366.9283,362.41757,-0.05060471,-2.1392698,-2.2252498,0.08597995,51.173878,47.693047,47.623726,69.5224,56.75552,-30.477598,21.780186,0.0152716255,-0.031876165,0.06207317,5.24,-11.47,366.50342,350.293,334.08258,0.4403778,0.09255342,5.8335714,0.016745813,0.020389864,0.05649115,0.09022017,-0.012463776,-0.01955737,-0.00020334899,0.00020334899,5004606.0,-205204.88,54803.434,94676.695,0.51013523,351.39233,50.039005,0.0072312728,-0.0016197634,0.012631806,-0.9428378,0.40720206,0.0010037137,0.011647373,-0.35773924,0.72756475,-0.0004575083,0.018216617,-0.9419953,4.078709,0.00092751055,0.0060098837,0.10811992,-0.0036730769,0.27023026,0.0,1.0,0.47267526,-0.48348212
2020-10-04 08:00:00,347.6166666666666,348.36,349.51,345.55,347.79,44598.15266,-0.0016362384,-0.0016375785,0.0014685557,0.0014674783,0.012931411,0.012848514,-0.040129162,-0.04095655,0.02841682,0.028020551,347.266,347.58365,0.0015089298,349.566,349.06146,-0.005080586,353.4742,351.71927,-0.016080948,355.6377,355.84555,-0.022066558,366.44904,362.272,-0.050918538,-1.9846902,-2.1771379,0.19244775,49.29772,46.977375,47.181194,66.715904,64.46742,-33.284096,21.86641,0.012931411,-0.040129162,0.02841682,4.44,-14.54,364.7768,349.566,334.35522,0.44162035,0.08702666,5.8378572,0.01678558,0.02062542,0.055772398,0.08509133,-0.011891209,-0.019506324,-0.00017234823,0.00017234823,4960008.0,-336651.56,51010.7,92564.17,0.48180792,351.91623,45.191933,-0.0016375785,-0.0020478275,0.012471087,-0.8841005,0.43904042,0.00046700917,0.010985244,-0.6165639,0.6240557,-0.00039220377,0.018182606,-0.9544885,4.142336,0.000709994,0.0060060006,0.11886073,-0.0037704653,0.2781314,0.0,1.0,0.47344983,-0.5039293
2020-10-04 12:00:00,347.0833333333333,347.79,349.65,344.91,346.69,58437.39823,-0.003162828,-0.0031678404,-0.009626921,-0.009673559,0.003153935,0.003148972,-0.04737175,-0.048530534,0.0062402044,0.006220815,347.375,347.42114,-0.0019719324,348.704,348.8356,-0.0057756724,353.3916,351.52206,-0.018963665,355.211,355.66428,-0.02398856,365.8655,362.11697,-0.052411336,-1.9287124,-2.1274529,0.1987404,45.538776,45.556644,46.30923,74.28401,70.1741,-25.71599,16.595766,0.003153935,-0.04737175,0.0062402044,1.09,-17.24,362.3621,348.704,335.0459,0.4262709,0.07833639,5.155,0.014869192,0.020159256,0.055362582,0.08312858,-0.01182871,-0.01969673,-0.00023684526,0.00023684526,4901570.5,-465298.94,50464.83,91975.55,0.635358,352.28494,51.800625,-0.0031678404,-0.0024265267,0.01237945,-0.81020623,0.4226424,0.00010368025,0.010731854,-0.64187366,0.7397744,-0.0004935942,0.018126251,-0.9544835,4.1999645,0.0004098598,0.006012934,0.11879637,-0.007783225,0.2886449,0.0,1.0,0.46575788,-0.55984527
