step,timestamp,asset,timeframe,split,episode_id,run_id,seed,bar_index,price,action_raw,position,reward,gross_return,net_return,equity,pnl,commission_paid,slippage_paid,trade_cost,trades
1,2017-09-28 04:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,1,305.57,0.05288267135620117,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,,0.0,0
2,2017-09-28 08:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,2,300.7,0.05288267135620117,1.0,-0.0005469999999999345,-0.0005469999999999345,-0.0005469999999999345,9994.53,-5.469999999999345,0.0,,0.0,0
3,2017-09-28 12:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,3,299.42,-0.05365276336669922,1.0,-0.00012800000000006548,-0.0001280700543197784,-0.0001280700543197784,9993.25,-1.2800000000006548,0.0,,0.0,0
4,2017-09-28 16:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,4,298.0,-0.08811318874359131,-1.0,0.00014200000000000727,0.00014209591474245844,0.00014209591474245844,9994.67,1.4200000000000728,0.0,,0.0,1
5,2017-09-28 20:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,5,302.44,-0.050161659717559814,-1.0,-0.0004440000000000509,-0.00044423677820283305,-0.00044423677820283305,9990.23,-4.440000000000509,0.0,,0.0,1
6,2017-09-29 00:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,6,280.0,-0.03712505102157593,-1.0,0.002244000000000051,0.0022461945320578717,0.0022461945320578717,10012.67,22.44000000000051,0.0,,0.0,1
7,2017-09-29 04:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,7,290.49,-0.0017219781875610352,-1.0,-0.0010489999999999781,-0.0010476725988172767,-0.0010476725988172767,10002.18,-10.489999999999782,0.0,,0.0,1
8,2017-09-29 08:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,8,297.01,-0.04777592420578003,-1.0,-0.0006520000000000436,-0.0006518578949789382,-0.0006518578949789382,9995.66,-6.520000000000437,0.0,,0.0,1
9,2017-09-29 12:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,9,293.14,0.003961682319641113,-1.0,0.00038700000000008004,0.0003871680309255017,0.0003871680309255017,9999.53,3.8700000000008004,0.0,,0.0,1
10,2017-09-29 16:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,10,292.81,0.04941272735595703,1.0,-3.2999999999992725e-05,-3.300155107289315e-05,-3.300155107289315e-05,9999.2,-0.32999999999992724,0.0,,0.0,2
11,2017-09-29 20:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,11,292.22,0.0906057357788086,1.0,-5.900000000001455e-05,-5.9004720377644756e-05,-5.9004720377644756e-05,9998.61,-0.5900000000001455,0.0,,0.0,2
12,2017-09-30 00:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,12,302.01,0.12183034420013428,1.0,0.0009790000000000872,0.0009791360999179758,0.0009791360999179758,10008.400000000001,9.790000000000873,0.0,,0.0,2
13,2017-09-30 04:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,13,301.01,0.12179327011108398,1.0,-0.0001,-9.991607050077932e-05,-9.991607050077932e-05,10007.400000000001,-1.0,0.0,,0.0,2
14,2017-09-30 08:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,14,303.57,0.10039746761322021,1.0,0.0002559999999999491,0.00025581070008188844,0.00025581070008188844,10009.960000000001,2.5599999999994907,0.0,,0.0,2
15,2017-09-30 12:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,15,304.9,0.0993201732635498,1.0,0.00013299999999999272,0.0001328676638068411,0.0001328676638068411,10011.29,1.3299999999999272,0.0,,0.0,2
16,2017-09-30 16:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,16,304.01,0.041568875312805176,1.0,-8.899999999994179e-05,-8.889963231505808e-05,-8.889963231505808e-05,10010.400000000001,-0.8899999999994179,0.0,,0.0,2
17,2017-09-30 20:00:00,unknown_asset,,train_epoch,asset_seed0::train_epoch,asset_seed0,0,17,304.36,-0.00476914644241333,1.0,3.500000000003638e-05,3.4963637816707e-05,3.4963637816707e-05,10010.750000000002,0.3500000000003638,0.0,,0.0,2
