step,timestamp,asset,timeframe,split,episode_id,run_id,seed,bar_index,price,action_raw,position,reward,gross_return,net_return,equity,pnl,commission_paid,slippage_paid,trade_cost,trades,closed_trades_cumulative,terminal_settlement_event
1,2018-01-19 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,1,1003.0,0.03562593460083008,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,,0.0,0,0,
2,2018-01-19 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,2,1053.91,0.03562593460083008,1.0,0.005090999999999985,0.005090999999999985,0.005090999999999985,10050.91,50.909999999999854,0.0,,0.0,0,0,
3,2018-01-19 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,3,1037.9,0.052773118019104004,1.0,-0.001601000000000022,-0.001592890593986039,-0.001592890593986039,10034.9,-16.01000000000022,0.0,,0.0,0,0,
4,2018-01-19 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,4,1016.06,0.05061030387878418,1.0,-0.0021840000000000145,-0.002176404348822624,-0.002176404348822624,10013.06,-21.840000000000146,0.0,,0.0,0,0,
5,2018-01-19 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,5,1032.5,0.03571736812591553,1.0,0.001644000000000051,0.0016418557364083017,0.0016418557364083017,10029.5,16.44000000000051,0.0,,0.0,0,0,
6,2018-01-20 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,6,1065.0,0.045833587646484375,1.0,0.00325,0.0032404406999351912,0.0032404406999351912,10062.0,32.5,0.0,,0.0,0,0,
7,2018-01-20 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,7,1127.13,0.01342928409576416,1.0,0.006213000000000102,0.006174716756112206,0.006174716756112206,10124.130000000001,62.13000000000102,0.0,,0.0,0,0,
8,2018-01-20 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,8,1102.12,0.005537152290344238,1.0,-0.0025010000000002036,-0.002470335722674643,-0.002470335722674643,10099.119999999999,-25.010000000002037,0.0,,0.0,0,0,
9,2018-01-20 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,9,1131.47,0.01849508285522461,1.0,0.0029350000000000365,0.002906193806985199,0.002906193806985199,10128.47,29.350000000000364,0.0,,0.0,0,0,
10,2018-01-20 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,10,1147.0,0.012511849403381348,1.0,0.0015530000000000654,0.0015333016734018717,0.0015333016734018717,10144.0,15.530000000000655,0.0,,0.0,0,0,
11,2018-01-20 20:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,11,1152.75,0.02300095558166504,1.0,0.000575,0.0005668375394321767,0.0005668375394321767,10149.75,5.75,0.0,,0.0,0,0,
12,2018-01-21 00:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,12,1117.12,0.03490579128265381,1.0,-0.0035630000000001017,-0.003510431291411219,-0.003510431291411219,10114.119999999999,-35.63000000000102,0.0,,0.0,0,0,
13,2018-01-21 04:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,13,1053.4,0.03488576412200928,1.0,-0.006371999999999934,-0.006300103222030127,-0.006300103222030127,10050.4,-63.719999999999345,0.0,,0.0,0,0,
14,2018-01-21 08:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,14,1110.0,-0.005500912666320801,1.0,0.0056600000000000365,0.005631616652073586,0.005631616652073586,10107.0,56.600000000000364,0.0,,0.0,0,0,
15,2018-01-21 12:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,15,1045.87,-0.042023301124572754,-1.0,0.006229000000000087,0.006163055308202323,0.006163055308202323,10169.29,62.29000000000087,0.0,,0.0,1,1,
16,2018-01-21 16:00:00,unknown_asset,,train_tail_epoch,wp4_smoke::train_tail_epoch,wp4_smoke,0,16,1036.86,-0.052665889263153076,-1.0,0.00090099999999984,0.0008860008909174975,0.0008860008909174975,10178.3,9.0099999999984,0.0,,0.0,1,1,
