epoch,raw_train_tail_trades,raw_val_trades,raw_train_tail_total_return,raw_val_total_return,raw_train_tail_max_drawdown_fraction,raw_val_max_drawdown_fraction,monitor_value,monitor_train_tail_rap,monitor_validation_rap,monitor_gap,monitor_gap_penalty,fitness_activity_band,fitness_annualized_rate,fitness_activity_utility,fitness_validation_economics,fitness_gap_bounded,fitness_lex_key,eligible,reason,monitor_contract_id,fitness_contract_id,source_report,source_report_sha256,monitor_rank,fitness_rank,rank_delta
11,5,36,-0.018077999999999927,0.06011299999999875,0.03493599999999988,0.020766951811042978,-0.029923987952760907,-0.053013999999999804,0.039346048188955776,0.09236004818895557,0.023090012047238893,1,36.0,0.848528137423857,0.039346048188955776,0.07819099999999868,"[1, 0.039346048188955776, -0.07819099999999868]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,9,2,7
12,9,22,0.026611999999999858,0.03417500000000029,0.012130880355599586,0.02920863771154893,0.007345051627438587,0.014481119644400272,0.0049663622884513585,0.009514757355948913,0.0023786893389872283,1,22.0,0.6633249580710799,0.0049663622884513585,0.0075630000000004305,"[1, 0.0049663622884513585, -0.0075630000000004305]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,1,8,-7
13,7,40,0.0005880000000000329,0.0034029999999993787,0.0202,0.04758723761913305,-0.03804117821435025,-0.019611999999999966,-0.04418423761913367,0.024572237619133703,0.006143059404783426,1,40.0,0.8944271909999159,-0.04418423761913367,0.002814999999999346,"[1, -0.04418423761913367, -0.002814999999999346]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,15,13,2
14,8,24,-0.009890000000000176,0.00888899999999948,0.027284857563777663,0.03930442302579493,-0.03548499892928224,-0.037174857563777836,-0.030415423025795446,0.0067594345379823895,0.0016898586344955974,1,24.0,0.6928203230275509,-0.030415423025795446,0.018778999999999657,"[1, -0.030415423025795446, -0.018778999999999657]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,14,10,4
15,14,24,0.01993200000000006,-0.026093000000000255,0.013579242024180507,0.038152344166727664,-0.04659581863109105,0.006352757975819554,-0.06424534416672792,0.07059810214254747,0.017649525535636867,1,24.0,0.6928203230275509,-0.06424534416672792,0.046025000000000316,"[1, -0.06424534416672792, -0.046025000000000316]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,18,15,3
16,10,38,0.022033999999999665,-0.030215000000001102,0.01164099449896257,0.049670396004967324,-0.057315795628467045,0.010393005501037096,-0.07988539600496843,0.09027840150600552,0.02256960037650138,1,38.0,0.8717797887081347,-0.07988539600496843,0.05224900000000077,"[1, -0.07988539600496843, -0.05224900000000077]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,19,16,3
17,16,42,-0.008138000000000423,0.004424999999999457,0.01763400000000038,0.04295802803448532,-0.0353427710258646,-0.0257720000000008,-0.03853302803448586,0.012761028034485061,0.0031902570086212653,1,42.0,0.916515138991168,-0.03853302803448586,0.01256299999999988,"[1, -0.03853302803448586, -0.01256299999999988]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,13,12,1
18,12,46,-0.004871999999999765,0.06426900000000013,0.02062599999999966,0.027467175284826294,-0.00992304382120611,-0.025497999999999424,0.036801824715173834,0.06229982471517326,0.015574956178793314,1,46.0,0.9591663046625439,0.036801824715173834,0.0691409999999999,"[1, 0.036801824715173834, -0.0691409999999999]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,2,3,-1
19,18,42,-0.0013260000000001604,-0.003075000000000938,0.018564439313753574,0.04185930114189811,-0.038673335684862725,-0.019890439313753734,-0.04493430114189905,0.025043861828145317,0.006260965457036329,1,42.0,0.916515138991168,-0.04493430114189905,0.0017490000000007777,"[1, -0.04493430114189905, -0.0017490000000007777]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,16,14,2
20,16,40,0.0010019999999999474,0.03705299999999889,0.02145699999999997,0.029108286414770652,-0.013355071603692956,-0.020455000000000022,0.00794471358522824,0.02839971358522826,0.007099928396307065,1,40.0,0.8944271909999159,0.00794471358522824,0.036050999999998945,"[1, 0.00794471358522824, -0.036050999999998945]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,4,7,-3
21,14,46,-0.030815999999999955,-0.03828300000000073,0.039198999999999797,0.06324658841311735,-0.09365094130983849,-0.07001499999999974,-0.10152958841311809,0.03151458841311834,0.007878647103279585,1,46.0,0.9591663046625439,-0.10152958841311809,0.007467000000000779,"[1, -0.10152958841311809, -0.007467000000000779]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,22,18,4
22,12,52,0.00454999999999961,-0.046767,0.014975,0.05780878762167461,-0.08103809071625605,-0.01042500000000039,-0.1045757876216746,0.09415078762167421,0.023537696905418553,2,52.0,1.0,-0.1045757876216746,0.05131699999999961,"[2, -0.1045757876216746, -0.05131699999999961]",True,,agent_multi.easy_checkpoint_monitor.v1,agent_multi.easy_doin_candidate_fitness.v1,docs/audits/evidence/wp3_replication_20260821/seed101_report.json,5d38250a3507bd085df51edf0ea1f8a61189b19c407427b4e4c190e3e4377ae5,21,1,20
