bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2023-01-01 00:00:00,1.0,0.0,0.0,0.4147451067703175,0.0,10000.0,0.0,
541,2023-01-01 04:00:00,1.0,8.31543331881679,0.9959261760078736,0.4146082653779948,-0.0021909272613968023,9978.090727386032,29.314955950539527,entry_fill
542,2023-01-01 08:00:00,1.0,8.31543331881679,0.9959305169765047,0.41445023792032243,0.001066712554424143,9988.734482034119,29.314955950539527,
543,2023-01-01 12:00:00,1.0,8.31543331881679,0.9959321086046997,0.4128062523001433,0.00039126614756579414,9992.642735693962,29.314955950539527,
544,2023-01-01 16:00:00,1.0,8.31543331881679,0.995948863349081,0.4120257236369815,0.004135813186525228,10033.970439288481,29.314955950539527,
545,2023-01-01 20:00:00,1.0,8.31543331881679,0.9959440230740912,0.41162383350398535,-0.0011933684727841731,10021.996215309386,29.314955950539527,
546,2023-01-02 00:00:00,1.0,8.31543331881679,0.9959494004443927,0.4109441245976302,0.0013275492251516585,10035.300908619492,29.314955950539527,
547,2023-01-02 04:00:00,1.0,8.31543331881679,0.9959864817143418,0.41022784119198596,0.00923909331160866,10128.0179901243,29.314955950539527,
548,2023-01-02 08:00:00,1.0,8.31543331881679,0.9960004704649797,0.4107964225776595,0.0034975990339571883,10163.44173606246,29.314955950539527,
549,2023-01-02 12:00:00,1.0,8.31543331881679,0.9960058624793569,0.410634980249534,0.001349982154899676,10177.162201038507,29.314955950539527,
550,2023-01-02 16:00:00,1.0,8.31543331881679,0.9960054381816468,0.41063755807619096,-0.00010621883685191236,10176.08119470706,29.314955950539527,
551,2023-01-02 20:00:00,1.0,8.31543331881679,0.9959894781344442,0.4104445208812176,-0.003979543744570435,10135.585034444422,29.314955950539527,
552,2023-01-03 00:00:00,1.0,8.31543331881679,0.995994702913415,0.40446408463640815,0.0013044672736686191,10148.806573421341,29.314955950539527,
553,2023-01-03 04:00:00,1.0,8.31543331881679,0.9959980474966745,0.40177564823098183,0.0008357378696530748,10157.288315406535,29.314955950539527,
554,2023-01-03 08:00:00,1.0,8.31543331881679,0.9959927000487897,0.4017911004374742,-0.0013344266588466436,10143.734159096864,29.314955950539527,
555,2023-01-03 12:00:00,1.0,8.31543331881679,0.9959820942681294,0.40177808697197265,-0.0026396290425827473,10116.958463810273,29.314955950539527,
556,2023-01-03 16:00:00,1.0,8.31543331881679,0.9959746168687119,0.40161556034396684,-0.0018575621682889176,10098.165584509748,29.314955950539527,
557,2023-01-03 20:00:00,1.0,8.31543331881679,0.9959912869892948,0.3982256953006902,0.004158471943106257,10140.158522769772,29.314955950539527,
558,2023-01-04 00:00:00,1.0,0.0,0.0,0.39851619303487545,0.009320611115525068,10234.670997010287,59.498343920909086,envelope_close_tp
559,2023-01-04 04:00:00,1.0,8.124761256734034,0.9959105267761856,0.4104990993704041,-0.002022550922262889,10213.970853746227,89.50074571635801,entry_fill
560,2023-01-04 08:00:00,1.0,8.124761256734034,0.9959091600617812,0.41014750798012845,-0.0003340913907716736,10210.558454018397,89.50074571635801,
561,2023-01-04 12:00:00,1.0,8.124761256734034,0.9959231095607283,0.4101221651415106,0.003421602604920082,10245.494927422356,89.50074571635801,
562,2023-01-04 16:00:00,1.0,8.124761256734034,0.9959182542741215,0.4029192656247677,-0.0011895122657747947,10233.307785537254,89.50074571635801,
563,2023-01-04 20:00:00,1.0,8.124761256734034,0.9959264045631101,0.4013478966444573,0.0020007605356995306,10253.782183904224,89.50074571635801,
564,2023-01-05 00:00:00,1.0,8.124761256734034,0.9959130300488899,0.40109083365592046,-0.0032724767689121803,10220.226919913912,89.50074571635801,
565,2023-01-05 04:00:00,1.0,8.124761256734034,0.9959073689347085,0.4011962379617695,-0.0013832456654334635,10206.089835327195,89.50074571635801,
566,2023-01-05 08:00:00,1.0,8.124761256734034,0.9959232065486445,0.401205770149725,0.0038848212755902,10245.738670260058,89.50074571635801,
567,2023-01-05 12:00:00,1.0,8.124761256734034,0.9959011039595436,0.4012626683372457,-0.005392327320055568,10190.490293714265,89.50074571635801,
568,2023-01-05 16:00:00,1.0,8.124761256734034,0.9959157898454956,0.40168298395978547,0.003595771372303158,10227.132966982135,89.50074571635801,
569,2023-01-05 20:00:00,1.0,8.124761256734034,0.9959080530046628,0.4017045852135085,-0.0018907480574913427,10207.796035191108,89.50074571635801,
570,2023-01-06 00:00:00,1.0,8.124761256734034,0.9959073363542438,0.3974136203901218,-0.000175106112065615,10206.008587714627,89.50074571635801,
571,2023-01-06 04:00:00,1.0,8.124761256734034,0.9958964908895601,0.3966425608947151,-0.00264297321920981,10179.034380342271,89.50074571635801,
572,2023-01-06 08:00:00,1.0,8.124761256734034,0.9958823583231934,0.38233630920019024,-0.0034321991751424807,10144.097906938314,89.50074571635801,
573,2023-01-06 12:00:00,1.0,8.124761256734034,0.9959460313009696,0.3825368536088979,0.015706331869645984,10303.424475182868,89.50074571635801,
574,2023-01-06 16:00:00,1.0,8.124761256734034,0.9959781263432583,0.3855775673970116,0.0079801219600526,10385.647059101018,89.50074571635801,
575,2023-01-06 20:00:00,1.0,8.124761256734034,0.9959655331433847,0.3865088809739518,-0.0031214037247646598,10353.229261686649,89.50074571635801,
576,2023-01-07 00:00:00,1.0,8.124761256734034,0.9959572845232834,0.38666899619343775,-0.0020403662213570595,10332.104882419138,89.50074571635801,
577,2023-01-07 04:00:00,1.0,8.124761256734034,0.9959581109027986,0.38674399751311644,0.00020445378272793135,10334.21732034589,89.50074571635801,
578,2023-01-07 08:00:00,1.0,8.124761256734034,0.9959485232374689,0.3867392012000906,-0.002366461883341886,10309.76178896312,89.50074571635801,
579,2023-01-07 12:00:00,1.0,8.124761256734034,0.9959526059371729,0.3862545001773437,0.00100872305505173,10320.16148337174,89.50074571635801,
580,2023-01-07 16:00:00,1.0,8.124761256734034,0.9959535934785952,0.38536376137733924,0.0002440539320676116,10322.680159361329,89.50074571635801,
581,2023-01-07 20:00:00,1.0,8.124761256734034,0.9959494170316872,0.3737564660265832,-0.0010310730432416815,10312.036722115006,89.50074571635801,
582,2023-01-08 00:00:00,1.0,8.124761256734034,0.9959454877796908,0.3736408196364164,-0.0009691059695657867,10302.043265769224,89.50074571635801,
583,2023-01-08 04:00:00,1.0,8.124761256734034,0.9959480442568622,0.37350200110346415,0.0006309242581989949,10308.543074774612,89.50074571635801,
584,2023-01-08 08:00:00,1.0,8.124761256734034,0.9959417431175979,0.37348992686997945,-0.0015526713677835868,10292.537295098846,89.50074571635801,
585,2023-01-08 12:00:00,1.0,8.124761256734034,0.9959816471577226,0.3732220157513852,0.0099304470490853,10394.74679170856,89.50074571635801,
586,2023-01-08 16:00:00,1.0,8.124761256734034,0.9959526696640686,0.37383014546978,-0.007159656180470764,10320.323978596874,89.50074571635801,
587,2023-01-08 20:00:00,1.0,0.0,0.0,0.3739437840092867,0.013753107115092034,10462.260499736969,120.35468290340869,envelope_close_tp
588,2023-01-09 00:00:00,1.0,8.05166537572614,0.995969544460528,0.3797959277527204,0.012530400318483403,10593.35681203493,151.02425889417893,entry_fill
589,2023-01-09 04:00:00,1.0,8.05166537572614,0.9959742871709284,0.3835542985625546,0.0011781045001901802,10605.836893367308,151.02425889417893,
590,2023-01-09 08:00:00,1.0,8.05166537572614,0.9959936010139042,0.38356193595397187,0.004820748767863314,10656.964968503167,151.02425889417893,
591,2023-01-09 12:00:00,1.0,0.0,0.0,0.38388353990899843,0.004072903933664218,10700.369763044306,182.58046900105006,envelope_close_tp
592,2023-01-09 16:00:00,1.0,7.954266243596998,0.9959048493398927,0.3851607661262591,-0.00717131903213486,10623.633997711706,213.948527968922,entry_fill
593,2023-01-09 20:00:00,1.0,7.954266243596998,0.9958747965192681,0.38507391821723097,-0.007285172904758164,10546.238987161509,213.948527968922,
594,2023-01-10 00:00:00,1.0,7.954266243596998,0.9958881938689048,0.3856132449394526,0.0032582639378995193,10580.601417333848,213.948527968922,
595,2023-01-10 04:00:00,1.0,7.954266243596998,0.9958836138465981,0.3854004472568473,-0.0011126318416302405,10568.829103293325,213.948527968922,
596,2023-01-10 08:00:00,1.0,7.954266243596998,0.9959023949299086,0.3853059775391922,0.004583429342083889,10617.270584716829,213.948527968922,
597,2023-01-10 12:00:00,1.0,7.954266243596998,0.9959166201819112,0.3855018706497171,0.003483695525850816,10654.257922749555,213.948527968922,
598,2023-01-10 16:00:00,1.0,7.954266243596998,0.9959333490061546,0.38566731855922487,0.004113661159698134,10698.085929751776,213.948527968922,
599,2023-01-10 20:00:00,1.0,7.954266243596998,0.995921644139672,0.38589853365756044,-0.0028699963621435787,10667.38246205149,213.948527968922,
600,2023-01-11 00:00:00,1.0,7.954266243596998,0.9959077601354971,0.3846966011963759,-0.003392764020331618,10631.190550643125,213.948527968922,
601,2023-01-11 04:00:00,1.0,7.954266243596998,0.9959213400093232,0.38101059324811115,0.003329493965458674,10666.587035427132,213.948527968922,
602,2023-01-11 08:00:00,1.0,7.954266243596998,0.9959241666721453,0.3811028507144667,0.0006935177655209568,10673.984503033676,213.948527968922,
603,2023-01-11 12:00:00,1.0,7.954266243596998,0.9958830251316476,0.38052972867542606,-0.009993148322102186,10567.317792707041,213.948527968922,
604,2023-01-11 16:00:00,1.0,7.954266243596998,0.9959437238125749,0.38196556584323954,0.014964139058242676,10725.44860562975,213.948527968922,
605,2023-01-11 20:00:00,1.0,0.0,0.0,0.38511570666663186,0.024351355430367594,10986.62781677558,246.3499206367631,envelope_close_tp
606,2023-01-12 00:00:00,1.0,7.851343980282862,0.9959551711514125,0.39871665796784145,0.005251747746103597,11044.32681464961,278.5571337615918,entry_fill
