seed,arm,phase,epoch,cumulative_timesteps_configured,configured_learning_rate,entropy_mode_configured,entropy_coefficient_recorded,actor_l1_before,actor_l1_after,actor_delta,critic_delta,train_tail_trades,val_trades,val_total_return_fraction,val_max_drawdown_fraction,trade_gate_passed,checkpoint_eligible,eligibility_reason,selection_transport_scalar_do_not_display_as_performance,replay_size_before,replay_size_after,observed_learning_rate,entropy_target,entropy_loss,actor_loss,critic_loss,gradient_update_count,raw_action_mean,raw_action_std,raw_action_min,raw_action_max,hold_rate,dominant_action_rate,thresholded_entries,protected_submissions,protected_rejections,order_families,commission_paid,spread_cost,slippage_cost,financing_cost,margin_train,margin_train_tail,margin_validation
101,N14,normal_training,10,220000,0.0001,fixed_0.2,invalid,8850.410324164666,8850.413958301768,0.003634137101471424,1813.0484721958637,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,N14,normal_training,11,240000,0.0001,fixed_0.2,invalid,8850.413958301768,8850.140240911394,-0.2737173903733492,1789.0744678378105,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,N14,normal_training,12,260000,0.0001,fixed_0.2,invalid,8850.140240911394,8849.958842480555,-0.18139843083918095,1282.9367997646332,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,N14,normal_training,13,280000,0.0001,fixed_0.2,invalid,8849.958842480555,8849.817771845497,-0.14107063505798578,1452.8516685962677,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,N14,normal_training,14,300000,0.0001,fixed_0.2,invalid,8849.817771845497,8849.728965153918,-0.0888066915795207,1034.2997774481773,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,warm_start_baseline,0,not_applicable,0.0001,fixed_0.2,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,5,136,not_instrumented,not_instrumented,True,None,baseline gate,1051191557740520.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,1,40000,0.0001,fixed_0.2,invalid,8760.91432184726,8854.522075427696,93.60775358043611,11080.32885270007,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,2,60000,0.0001,fixed_0.2,invalid,8854.522075427696,8853.373570924625,-1.1485045030713081,8034.646089287475,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,3,80000,0.0001,fixed_0.2,invalid,8853.373570924625,8852.622668934986,-0.7509019896388054,4206.795038137585,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
101,EN4_10,normal_training,4,100000,0.0001,fixed_0.2,invalid,8852.622668934986,8852.024863856845,-0.5978050781413913,2810.1402841359377,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
