[65/256] 2025-11-30T00:00:00 -        0.6363 -> flat (abstained)
[66/256] 2025-11-30T04:00:00 -        0.6079 -> flat (abstained)
[67/256] 2025-11-30T08:00:00 -        0.6367 -> flat (abstained)
[68/256] 2025-11-30T12:00:00 -        0.6297 -> flat (abstained)
[69/256] 2025-11-30T16:00:00 -        0.6453 -> flat (abstained)
[70/256] 2025-11-30T20:00:00 -        0.6698 -> flat (abstained)
[71/256] 2025-12-01T00:00:00 -        0.6378 -> flat (abstained)
[72/256] 2025-12-01T04:00:00 -        0.5974 -> flat (abstained)
[73/256] 2025-12-01T08:00:00 -        0.6209 -> flat (abstained)
[74/256] 2025-12-01T12:00:00 -        0.6642 -> flat (abstained)
[75/256] 2025-12-01T16:00:00 -        0.6640 -> flat (abstained)
[76/256] 2025-12-01T20:00:00 -        0.6356 -> flat (abstained)
[77/256] 2025-12-02T00:00:00 -        0.6669 -> flat (abstained)
[78/256] 2025-12-02T04:00:00 -        0.6237 -> flat (abstained)
[79/256] 2025-12-02T08:00:00 -        0.6154 -> flat (abstained)
[80/256] 2025-12-02T12:00:00 -        0.6314 -> flat (abstained)
[81/256] 2025-12-02T16:00:00 -        0.6469 -> flat (abstained)
[82/256] 2025-12-02T20:00:00 -        0.6025 -> flat (abstained)
[83/256] 2025-12-03T00:00:00 -        0.6080 -> flat (abstained)
[84/256] 2025-12-03T04:00:00 -        0.6140 -> flat (abstained)
[85/256] 2025-12-03T08:00:00 -        0.6200 -> flat (abstained)
[86/256] 2025-12-03T12:00:00 -        0.6123 -> flat (abstained)
[87/256] 2025-12-03T16:00:00 -        0.5870 -> flat (abstained)
[88/256] 2025-12-03T20:00:00 -        0.6350 -> flat (abstained)
[89/256] 2025-12-04T00:00:00 -        0.6250 -> flat (abstained)
[90/256] 2025-12-04T04:00:00 -        0.6334 -> flat (abstained)
[91/256] 2025-12-04T08:00:00 -        0.6149 -> flat (abstained)
[92/256] 2025-12-04T12:00:00 -        0.6304 -> flat (abstained)
[93/256] 2025-12-04T16:00:00 -        0.6591 -> flat (abstained)
[94/256] 2025-12-04T20:00:00 -        0.6378 -> flat (abstained)
[95/256] 2025-12-05T00:00:00 -        0.6433 -> flat (abstained)
[96/256] 2025-12-05T04:00:00 -        0.6314 -> flat (abstained)
[97/256] 2025-12-05T08:00:00 -        0.6382 -> flat (abstained)
[98/256] 2025-12-05T12:00:00 -        0.6088 -> flat (abstained)
[99/256] 2025-12-05T16:00:00 -        0.6269 -> flat (abstained)
[100/256] 2025-12-05T20:00:00 -        0.6279 -> flat (abstained)
[101/256] 2025-12-06T00:00:00 -        0.6215 -> flat (abstained)
[102/256] 2025-12-06T04:00:00 -        0.6046 -> flat (abstained)
[103/256] 2025-12-06T08:00:00 -        0.6347 -> flat (abstained)
[104/256] 2025-12-06T12:00:00 -        0.6220 -> flat (abstained)
[105/256] 2025-12-06T16:00:00 -        0.6319 -> flat (abstained)
[106/256] 2025-12-06T20:00:00 -        0.6171 -> flat (abstained)
[107/256] 2025-12-07T00:00:00 -        0.6206 -> flat (abstained)
[108/256] 2025-12-07T04:00:00 -        0.6545 -> flat (abstained)
[109/256] 2025-12-07T08:00:00 -        0.6303 -> flat (abstained)
[110/256] 2025-12-07T12:00:00 -        0.6459 -> flat (abstained)
[111/256] 2025-12-07T16:00:00 -        0.6060 -> flat (abstained)
[112/256] 2025-12-07T20:00:00 -        0.6094 -> flat (abstained)
[113/256] 2025-12-08T00:00:00 -        0.6327 -> flat (abstained)
[114/256] 2025-12-08T04:00:00 -        0.6291 -> flat (abstained)
[115/256] 2025-12-08T08:00:00 -        0.6207 -> flat (abstained)
[116/256] 2025-12-08T12:00:00 -        0.6391 -> flat (abstained)
[117/256] 2025-12-08T16:00:00 -        0.6167 -> flat (abstained)
[118/256] 2025-12-08T20:00:00 -        0.6292 -> flat (abstained)
[119/256] 2025-12-09T00:00:00 -        0.6248 -> flat (abstained)
[120/256] 2025-12-09T04:00:00 -        0.5940 -> flat (abstained)
