bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2022-01-01 00:00:00,-0.18851245060360944,0.0,0.0,0.7957034112054981,0.0,10000.0,0.0,
541,2022-01-01 04:00:00,-0.18882175950697397,-0.5045834943858527,-0.18742574700581197,0.7943999695356079,0.00022762746068694106,10002.27627460687,1.900467744594264,entry_fill
542,2022-01-01 08:00:00,-0.18931106018526034,-0.5045834943858527,-0.18611295215218648,0.7923467326906816,0.0011068042476420903,10013.346836473695,1.900467744594264,
543,2022-01-01 12:00:00,-0.18931891881201987,-0.5045834943858527,-0.18802446880063559,0.792313842384338,-0.0016089876081245569,9997.235485497955,1.900467744594264,
544,2022-01-01 16:00:00,-0.18917009485931865,-0.5045834943858527,-0.18936373645826257,0.7929371717635997,-0.0011260370705560296,9985.978227738206,1.900467744594264,
545,2022-01-01 20:00:00,-0.18929667386509894,-0.5045834943858527,-0.19044226353270002,0.7924069500919838,-0.0009059885619624453,9976.931045683868,1.900467744594264,
546,2022-01-02 00:00:00,-0.18929901844625932,-0.5045834943858527,-0.1900215678281798,0.7923971356596545,0.0003535193948525084,9980.458084309625,1.900467744594264,
547,2022-01-02 04:00:00,-0.189314405033815,-0.5045834943858527,-0.189340298856715,0.7923327333343031,0.0005728124844668336,9986.175015301016,1.900467744594264,
548,2022-01-02 08:00:00,-0.1898872671868322,-0.5045834943858527,-0.18914742445189636,0.7899423811940657,0.00016219553677920828,9987.794728317995,1.900467744594264,
549,2022-01-02 12:00:00,-0.19009696865208534,-0.5045834943858527,-0.19120315945481356,0.7890709729018844,-0.0017257635581305886,9970.558156149775,1.900467744594264,
550,2022-01-02 16:00:00,-0.19168058761134352,0.0,0.0,0.7825518581158768,-0.0040030837874924785,9930.64517644264,3.8671762444455418,envelope_close_sl
551,2022-01-02 20:00:00,-0.19750600380199365,-0.4994779514988256,-0.19287397125319622,0.7594705837417479,-0.0016845448873995528,9913.916558882085,5.786322490855614,entry_fill
552,2022-01-03 00:00:00,-0.197374754779918,-0.4994779514988256,-0.1902791539495501,0.7599756117101042,0.0021800073495665817,9935.528969843439,5.786322490855614,
553,2022-01-03 04:00:00,-0.20014541677254544,-0.4994779514988256,-0.19170979327464355,0.7494550833030914,-0.0012004930505457034,9923.601436361647,5.786322490855614,
554,2022-01-03 08:00:00,-0.2038439659046147,-0.4994779514988256,-0.1932551192369081,0.7358569547758403,-0.0012950507710812742,9910.749868669584,5.786322490855614,
555,2022-01-03 12:00:00,-0.20384703674852922,-0.4994779514988256,-0.19022171262715343,0.7358458694940154,0.00254860634583709,9936.008468676879,5.786322490855614,
556,2022-01-03 16:00:00,-0.207883448253841,-0.4994779514988256,-0.18749723896947038,0.7215581676172648,0.0022942989408947234,9958.804642383286,5.786322490855614,
557,2022-01-03 20:00:00,-0.2085568565177211,-0.4994779514988256,-0.18913675494017917,0.7192283318062692,-0.0013787446766720945,9945.073993496582,5.786322490855614,
558,2022-01-04 00:00:00,-0.20840591963349744,-0.4994779514988256,-0.18784456495640653,0.719749229118779,0.0010878443374617852,9955.892685926046,5.786322490855614,
559,2022-01-04 04:00:00,-0.2086671907299899,-0.4994779514988256,-0.18901612713725513,0.7188480348791211,-0.000985320681620383,9946.08293895861,5.786322490855614,
560,2022-01-04 08:00:00,-0.20880073477648917,-0.4994779514988256,-0.19335014355968677,0.718388276557396,-0.0036318061767719456,9909.960693506215,5.786322490855614,
561,2022-01-04 12:00:00,-0.20785924124327637,0.0,0.0,0.7216421993210371,-0.0032003262526352216,9878.245586136203,7.7545388555794865,envelope_close_sl
562,2022-01-04 16:00:00,-0.20999714046328577,-0.5316680770534908,-0.20482366020669107,0.7142954407335123,0.0017719133411080445,9895.74898127702,9.824530023220852,entry_fill
563,2022-01-04 20:00:00,-0.21051039686334627,-0.5316680770534908,-0.20306553377368525,0.7125538796897197,0.0014613721228395882,9910.210352972876,9.824530023220852,
564,2022-01-05 00:00:00,-0.2109284293900276,-0.5316680770534908,-0.2046385566741253,0.7111416912067131,-0.001305804875433414,9897.269551977393,9.824530023220852,
565,2022-01-05 04:00:00,-0.21090473752254751,-0.5316680770534908,-0.20504573003800064,0.7112215769167524,-0.00033789038351472733,9893.925359772727,9.824530023220852,
566,2022-01-05 08:00:00,-0.21224366230506564,-0.5316680770534908,-0.20349037458219907,0.7067348837224617,0.001292370498884532,9906.711977025863,9.824530023220852,
567,2022-01-05 12:00:00,-0.21225883881209048,-0.5316680770534908,-0.20538449559238,0.7066843521781098,-0.0015713832533162941,9891.144735729737,9.824530023220852,
568,2022-01-05 16:00:00,-0.21315778851967487,0.0,0.0,0.7037040543613761,0.005527457042277639,9945.817613355433,11.822057789927872,envelope_close_tp
569,2022-01-05 20:00:00,-0.20902050738127098,-0.5781182490268152,-0.20449077927591894,0.717632934104343,0.006428676268248834,10009.756055014743,13.959335578585897,entry_fill;envelope_close_tp
570,2022-01-06 00:00:00,-0.21002532280337183,0.0,0.0,0.7141995926864103,-0.00018047824509637156,10007.94951180809,16.029511112922854,
571,2022-01-06 04:00:00,-0.20846124986887998,-0.6074953910591446,-0.20971222420251862,0.7195581917231547,-0.0004930780941547752,10003.01481113641,18.148541724005614,entry_fill
572,2022-01-06 08:00:00,-0.20848278949299417,-0.6074953910591446,-0.2021464227137514,0.7194838497929853,0.006293577342839862,10065.96955851187,18.148541724005614,
573,2022-01-06 12:00:00,-0.20690676217963658,-0.6074953910591446,-0.20560397277664302,0.7249642226278226,-0.0028678986972218157,10037.10137752874,18.148541724005614,
574,2022-01-06 16:00:00,-0.2063548605901601,-0.6074953910591446,-0.20928406137565836,0.7269031588158901,-0.003043196149322358,10006.556509266286,18.148541724005614,
575,2022-01-06 20:00:00,-0.20631839598485738,-0.6074953910591446,-0.2063194949534642,0.7270316312996595,0.002457530061145574,10031.14792269636,18.148541724005614,
576,2022-01-07 00:00:00,-0.20605392908772607,0.0,0.0,0.7279647646812816,0.009267222897833882,10124.10880641713,20.145913467609567,envelope_close_tp
577,2022-01-07 04:00:00,-0.20054114576421933,-0.6420363653195089,-0.20265305229128816,0.7479761792941899,0.002085801030886403,10145.225683002362,22.249004967106377,entry_fill
578,2022-01-07 08:00:00,-0.2011024236147866,-0.6420363653195089,-0.2044389434729788,0.7458885741095108,-0.001482757753200059,10130.182770962925,22.249004967106377,
579,2022-01-07 12:00:00,-0.20195687648878818,-0.6420363653195089,-0.19730664696640485,0.7427328180544889,0.005956950564540042,10190.527768939306,22.249004967106377,
580,2022-01-07 16:00:00,-0.20267555028432913,-0.6420363653195089,-0.20227795000052023,0.7400991377083632,-0.0041349032759964155,10148.390922283386,22.249004967106377,
581,2022-01-07 20:00:00,-0.20155519788043816,-0.6420363653195089,-0.20242400664081325,0.7442130075403933,-0.00012146849986882646,10147.158212461974,22.249004967106377,
582,2022-01-08 00:00:00,-0.20200440375196171,-0.6420363653195089,-0.20274819656218018,0.7425580691012204,-0.00026954097482212447,10144.423137545713,22.249004967106377,
583,2022-01-08 04:00:00,-0.2025486539642666,-0.6420363653195089,-0.20371037944709391,0.7405628083140104,-0.0007993475019761886,10136.314218251726,22.249004967106377,
584,2022-01-08 08:00:00,-0.20256475612358962,-0.6420363653195089,-0.204001699261997,0.7405039399276416,-0.00024195963766626694,10133.861639336206,22.249004967106377,
585,2022-01-08 12:00:00,-0.20310220953099092,-0.6420363653195089,-0.19950051462105572,0.7385444025763384,0.003752549153647644,10171.88945325408,22.249004967106377,
586,2022-01-08 16:00:00,-0.2036066067618053,0.0,0.0,0.7367147971552885,0.008916618756246386,10262.58831353943,24.207915729860712,envelope_close_tp
587,2022-01-08 20:00:00,-0.2005081412102096,-0.6876751879155256,-0.2072197553944931,0.7480992995827652,-0.003723374744407537,10224.376851400546,26.314453437013754,entry_fill
588,2022-01-09 00:00:00,-0.19975554238206938,-0.6876751879155256,-0.21044532304100802,0.7509178379296094,-0.002664777652584327,10197.131160455334,26.314453437013754,
589,2022-01-09 04:00:00,-0.1995311521512791,-0.6876751879155256,-0.211012101456589,0.7517623107106307,-0.00046802043918414693,10192.358694651199,26.314453437013754,
590,2022-01-09 08:00:00,-0.20090846499524137,-0.6876751879155256,-0.2110864590279081,0.7466086608324484,-6.139740954480555e-05,10191.732910230196,26.314453437013754,
591,2022-01-09 12:00:00,-0.20323110353555632,-0.6876751879155256,-0.20860979997285814,0.738076000132316,0.0020491800208020106,10212.61760568719,26.314453437013754,
592,2022-01-09 16:00:00,-0.20533450276870016,0.0,0.0,0.7305153200140362,-0.00610023228671841,10150.318266037068,28.530180326575856,envelope_close_sl
593,2022-01-09 20:00:00,-0.20251807514829073,-0.6484243138805115,-0.20073173338621772,0.7406746281296858,0.0031033289083128857,10181.818042140636,30.631485665900453,entry_fill
594,2022-01-10 00:00:00,-0.20388287777862568,-0.6484243138805115,-0.20096653616995327,0.7357165134919703,-0.00019551151232266584,10179.827379497023,30.631485665900453,
595,2022-01-10 04:00:00,-0.20586897958532802,-0.6484243138805115,-0.2015941471516867,0.7286187569498707,-0.0005223152785996943,10174.510300123204,30.631485665900453,
596,2022-01-10 08:00:00,-0.20593004182682795,-0.6484243138805115,-0.19711273622314213,0.7284027073919549,0.0037435162060703853,10212.598744320545,30.631485665900453,
597,2022-01-10 12:00:00,-0.20547051302918728,0.0,0.0,0.7300317587599168,0.006594979618856467,10279.950624894898,32.59755372604679,envelope_close_tp
598,2022-01-10 16:00:00,-0.20365212273665256,-0.7003449542171696,-0.20678644218367287,0.7365501423914377,-0.0018272527051877985,10261.166557306362,34.72697918701218,entry_fill
599,2022-01-10 20:00:00,-0.20376975615497037,-0.7003449542171696,-0.2111618581429932,0.7361249423389526,-0.003612577402353878,10224.097298879647,34.72697918701218,
600,2022-01-11 00:00:00,-0.2041314137469608,0.0,0.0,0.734820757112565,-0.002765803642570286,10195.819453328413,36.937113862938595,envelope_close_sl
601,2022-01-11 04:00:00,-0.20393317671274894,-0.6648865621399194,-0.20426256082338526,0.7355350532850435,-0.0008651850054691712,10186.998183218922,39.03506501868844,entry_fill
602,2022-01-11 08:00:00,-0.2039382309456512,-0.6648865621399194,-0.20279766903638582,0.7355168244053978,0.001217903746166149,10199.404966468453,39.03506501868844,
603,2022-01-11 12:00:00,-0.20391825985992737,-0.6648865621399194,-0.20457468367432535,0.7355888585114244,-0.0014752216379967376,10184.358583567227,39.03506501868844,
604,2022-01-11 16:00:00,-0.2037499163909855,0.0,0.0,0.7361966211174182,-0.008233809828398164,10100.50251176592,41.22509197097247,envelope_close_sl
605,2022-01-11 20:00:00,-0.20310458650495117,-0.6336823049331453,-0.20333100853852176,0.7385357592421645,-0.000385698022600911,10096.606767919857,43.29981220475144,entry_fill
606,2022-01-12 00:00:00,-0.20309596189645449,-0.6336823049331453,-0.20293841524584694,0.7385671216667287,0.000326361921524132,10099.901915905508,43.29981220475144,
607,2022-01-12 04:00:00,-0.20541515434188326,-0.6336823049331453,-0.2016567229738847,0.7302284998425534,0.001066604336711352,10110.674515089371,43.29981220475144,
608,2022-01-12 08:00:00,-0.2053788420914445,-0.6336823049331453,-0.20581252605727854,0.7303576087609492,-0.003446475296605467,10075.828325141098,43.29981220475144,
609,2022-01-12 12:00:00,-0.20473200248830603,0.0,0.0,0.7326651338183817,-0.0053973375920589595,10021.445678150681,45.45022470397279,envelope_close_sl
610,2022-01-12 16:00:00,-0.2089563833823651,-0.6083414574859491,-0.20560163146486035,0.7178531594582492,-0.0014572741889923302,10006.841684027524,47.518628294420125,entry_fill
611,2022-01-12 20:00:00,-0.20916252571622768,-0.6083414574859491,-0.20481352935157812,0.7171456717036688,0.0006541278746317047,10013.387438110072,47.518628294420125,
612,2022-01-13 00:00:00,-0.20920566266633434,-0.6083414574859491,-0.20238686201724404,0.7169978005769257,0.002018208457686299,10033.596541327755,47.518628294420125,
613,2022-01-13 04:00:00,-0.2089965720426245,-0.6083414574859491,-0.20252903627290456,0.7177151210375247,-0.0001182293744034224,10032.410275485658,47.518628294420125,
614,2022-01-13 08:00:00,-0.20901264059569713,-0.6083414574859491,-0.20209168441791667,0.7176599442621845,0.00036382570535753445,10036.060324230573,47.518628294420125,
615,2022-01-13 12:00:00,-0.20960171302358407,-0.6083414574859491,-0.19972385810444793,0.7156430061386102,0.001973642765769279,10055.867922086316,47.518628294420125,
616,2022-01-13 16:00:00,-0.2098333041771441,-0.6083414574859491,-0.19755550392527177,0.7148531573108526,0.0018106502555155224,10074.075581908872,47.518628294420125,
617,2022-01-13 20:00:00,-0.20969493121230262,-0.6083414574859491,-0.19532580403603597,0.7153248728179064,0.001865349080315326,10092.867249530613,47.518628294420125,
618,2022-01-14 00:00:00,-0.21103187662602413,-0.6083414574859491,-0.1971889710989445,0.7107930915376328,-0.0015562848538426266,10077.159873098324,47.518628294420125,
619,2022-01-14 04:00:00,-0.21084162139985882,-0.6083414574859491,-0.19737257093418448,0.7114344834008207,-0.00015333559469854485,10075.61468579631,47.518628294420125,
